1	29
2	38
3	45
4	51
5	57
6	62
7	66
8	70
9	74
10	78
11	81
12	85
13	88
14	91
15	94
16	97
17	100
18	102
19	105
20	107
21	110
22	112
23	115
24	117
25	119
26	121
27	124
28	126
29	128
30	130
31	132
32	134
33	136
34	138
35	139
36	141
37	143
38	145
39	146
40	148
41	149
42	151
43	152
44	153
45	154
46	156
47	157
48	158
49	159
50	161
51	162
52	164
53	165
54	166
55	168
56	169
57	170
58	172
59	173
60	174
61	176
62	177
63	178
64	179
65	180
66	181
67	182
68	183
69	184
70	185
71	186
72	187
73	188
74	189
75	190
76	191
77	192
78	193
79	194
80	195
81	196
82	197
83	198
84	199
85	200
86	201
87	202
88	203
89	203
90	204
91	205
92	206
93	207
94	208
95	209
96	209
97	210
98	211
99	212
100	213
